english	test language	test language 2
Error - too manure storage destinations	Error - too manure storage destinations	Error - too manure storage destinations
Species 	Species 	Species 
", Livestocktype  "	", Livestocktype  "	", Livestocktype  "
" not found in parameters.xml"""	" not found in parameters.xml"""	" not found in parameters.xml"""
Sum of proportions of time in different housing does not equal 1.0 	Sum of proportions of time in different housing does not equal 1.0 	Sum of proportions of time in different housing does not equal 1.0 
Energy system for livestock not found	Energy system for livestock not found	Energy system for livestock not found
Protein system for livestock not found	Protein system for livestock not found	Protein system for livestock not found
 - liveweight has fallen below zero!	 - liveweight has fallen below zero!	 - liveweight has fallen below zero!
Error; Livestock C balance error is more than the permitted margin\n	Error; Livestock C balance error is more than the permitted margin\n	Error; Livestock C balance error is more than the permitted margin\n
could not match StorageType and SpeciesGroup at ManureStore. Was trying to find StorageType	could not match StorageType and SpeciesGroup at ManureStore. Was trying to find StorageType	could not match StorageType and SpeciesGroup at ManureStore. Was trying to find StorageType
 and speciesGroup 	 and speciesGroup 	 and speciesGroup 
Error - manure type not found for manure storage 	Error - manure type not found for manure storage 	Error - manure type not found for manure storage 
Error; N losses from manure storage 	Error; N losses from manure storage 	Error; N losses from manure storage 
 exceed TAN present	 exceed TAN present	 exceed TAN present
Error; Manure storage C balance error is more than the permitted margin\n	Error; Manure storage C balance error is more than the permitted margin\n	Error; Manure storage C balance error is more than the permitted margin\n
Error; Manure storage N balance error is more than the permitted margin\n	Error; Manure storage N balance error is more than the permitted margin\n	Error; Manure storage N balance error is more than the permitted margin\n
constant file not found	constant file not found	constant file not found
Error - livestock are indicated as grazing but there are no fields to graze	Error - livestock are indicated as grazing but there are no fields to graze	Error - livestock are indicated as grazing but there are no fields to graze
